house_id,house_location,house_type,ridges,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,roof_srf_num,ratio_flat,ratio_0*,ratio_90*,ratio_180*,ratio_270*
61,Moreton_Bay_Mixed,R1,1,4,38.015,0.5,9.761,9.246,1.056,89.724,89.724,1,8.731,10.277,1.177,3,0.295,0,0.344,0,0.36
77,Moreton_Bay_Mixed,R1,1,4,45.682,0.5,11.793,11.048,1.067,129.181,129.181,1,12.538,10.303,1.217,2,0,0,0.474,0,0.526
73,Moreton_Bay_Mixed,R1,1,4,41.665,0.5,10.926,9.906,1.103,106.156,106.156,1,11.946,8.886,1.344,2,0,0,0.447,0,0.553
68,Moreton_Bay_Mixed,R1,1,4,42.235,0.5,11.188,9.93,1.127,107.925,107.925,1,12.445,8.672,1.435,2,0,0,0.438,0,0.562
8,Moreton_Bay_Mixed,R1,1,4,47.402,0.5,12.58,11.122,1.131,135.652,135.652,1,9.664,14.038,1.453,2,0,0.5,0,0.5,0
12,Moreton_Bay_Mixed,R1,1,4,43.998,0.5,11.7,10.299,1.136,116.577,116.577,1,13.101,8.899,1.472,4,0,0.164,0.337,0.16,0.331
11,Moreton_Bay_Mixed,R1,1,4,48.012,0.5,12.783,11.223,1.139,138.601,138.601,1,9.664,14.343,1.484,2,0,0.512,0,0.488,0
78,Moreton_Bay_Mixed,R1,1,4,40.966,0.5,10.909,9.574,1.139,100.877,100.877,1,12.245,8.238,1.486,2,0,0,0.464,0,0.536
15,Moreton_Bay_Mixed,R1,1,4,46.385,0.5,12.376,10.816,1.144,128.999,128.999,1,9.257,13.936,1.505,2,0,0.511,0,0.489,0
13,Moreton_Bay_Mixed,R1,1,4,47.606,0.5,12.715,11.088,1.147,135.683,135.683,1,9.46,14.343,1.516,2,0,0.5,0,0.5,0
63,Moreton_Bay_Mixed,R1,1,4,49.92,0.5,13.38,11.58,1.155,148.465,148.465,1,9.781,15.179,1.552,2,0,0.475,0,0.525,0
10,Moreton_Bay_Mixed,R1,1,4,46.965,0.5,12.634,10.849,1.165,130.684,130.684,1,14.419,9.063,1.591,4,0,0.154,0.355,0.151,0.341
69,Moreton_Bay_Mixed,R1,1,4,43.633,0.5,11.797,10.019,1.177,111.881,111.881,1,13.575,8.242,1.647,2,0,0,0.466,0,0.534
9,Moreton_Bay_Mixed,R1,1,4,47.199,0.5,12.783,10.816,1.182,130.53,130.53,1,8.85,14.75,1.667,4,0,0.358,0.153,0.335,0.155
72,Moreton_Bay_Mixed,R1,1,4,40.38,0.5,10.954,9.236,1.186,95.264,95.264,1,12.672,7.517,1.686,2,0,0,0.502,0,0.498
17,Moreton_Bay_Mixed,R1,1,4,49.961,0.5,13.696,11.285,1.214,142.926,142.926,1,16.107,8.873,1.815,2,0,0,0.493,0,0.507
14,Moreton_Bay_Mixed,R1,1,4,48.223,0.5,13.228,10.884,1.215,132.979,132.979,1,15.572,8.54,1.824,2,0,0,0.466,0,0.534
16,Moreton_Bay_Mixed,R1,1,4,48.804,0.5,13.439,10.963,1.226,135.075,135.075,1,15.914,8.488,1.875,2,0,0,0.47,0,0.53
75,Moreton_Bay_Mixed,R1,1,4,35.578,0.5,9.825,7.964,1.234,71.316,71.316,1,11.687,6.102,1.915,2,0,0,0.465,0,0.535
83,Moreton_Bay_Mixed,R1,1,4,63.807,0.5,17.699,14.204,1.246,226.967,226.967,1,21.195,10.709,1.979,2,0,0,0.5,0,0.5
84,Moreton_Bay_Mixed,R1,1,4,63.986,0.5,17.828,14.165,1.259,225.7,225.7,1,21.491,10.502,2.046,2,0,0,0.454,0,0.546
64,Moreton_Bay_Mixed,R1,1,4,66.566,0.5,18.556,14.727,1.26,243.944,243.944,1,22.385,10.898,2.054,2,0,0,0.491,0,0.509
79,Moreton_Bay_Mixed,R1,1,4,67.956,0.5,18.982,14.996,1.266,252.888,252.888,1,22.968,11.011,2.086,4,0,0.111,0.385,0.115,0.389
71,Moreton_Bay_Mixed,R1,1,4,68.949,0.5,19.316,15.158,1.274,258.229,258.229,1,23.473,11.001,2.134,4,0,0,0.47,0.093,0.437
70,Moreton_Bay_Mixed,R1,1,4,69.042,0.5,19.345,15.176,1.275,258.826,258.826,1,23.513,11.008,2.136,4,0,0.09,0.398,0.096,0.415
62,Moreton_Bay_Mixed,R1,1,4,66.437,0.5,18.621,14.597,1.276,239.435,239.435,1,22.645,10.573,2.142,2,0,0,0.433,0,0.567
